idx_in_subset,AP,query_image
152,0.741122,0102_c012_00007880_0.jpg
153,0.610587,0102_c013_00007965_0.jpg
154,0.788247,0102_c014_00005435_0.jpg
155,0.586246,0102_c015_00005535_0.jpg
156,0.631819,0102_c016_00010770_0.jpg
157,0.686757,0102_c017_00006970_1.jpg
158,0.587257,0102_c019_00006590_0.jpg
159,0.82636,0104_c001_00021440_0.jpg
160,0.226824,0104_c002_00019700_1.jpg
161,0.992652,0104_c003_00016995_0.jpg
162,0.754999,0104_c004_00016940_0.jpg
163,0.858628,0104_c006_00017875_1.jpg
164,0.523047,0104_c010_00017790_0.jpg
165,0.85368,0104_c011_00017820_1.jpg
166,0.341055,0104_c013_00021685_0.jpg
167,0.895479,0104_c018_00022470_0.jpg
168,0.186494,0105_c014_00069950_0.jpg
169,0.93608,0105_c015_00069955_0.jpg
170,0.979167,0105_c016_00069670_0.jpg
171,0.929024,0106_c014_00015900_0.jpg
172,0.877788,0106_c015_00015940_0.jpg
173,0.869162,0106_c016_00015635_0.jpg
174,0.867261,0106_c017_00018825_0.jpg
175,0.849826,0106_c019_00018530_0.jpg
176,0.42625,0108_c002_00075460_1.jpg
177,0.780362,0108_c003_00077570_0.jpg
178,0.898614,0108_c004_00077550_0.jpg
179,0.933479,0108_c005_00078200_0.jpg
180,0.711249,0108_c006_00076755_1.jpg
181,0.338702,0108_c007_00078265_0.jpg
182,0.872703,0108_c008_00077790_0.jpg
183,0.897422,0108_c009_00077755_0.jpg
184,0.711082,0108_c010_00076940_0.jpg
185,0.843018,0108_c011_00076760_1.jpg
186,0.610633,0110_c001_00018880_0.jpg
187,0.680124,0110_c002_00019620_0.jpg
188,0.416809,0110_c003_00022520_1.jpg
189,0.664992,0110_c004_00022495_0.jpg
190,0.613325,0110_c006_00021960_0.jpg
191,0.908613,0110_c008_00022735_0.jpg
192,0.847361,0110_c009_00022635_0.jpg
193,0.443005,0110_c010_00022075_0.jpg
194,0.647286,0110_c011_00021890_0.jpg
195,0.50913,0110_c012_00007700_0.jpg
196,0.687448,0113_c001_00080770_0.jpg
197,0.621968,0113_c002_00079195_1.jpg
198,0.640334,0113_c003_00076335_0.jpg
199,0.651198,0113_c004_00076225_0.jpg
200,0.831226,0113_c006_00076830_0.jpg
201,0.700053,0113_c008_00076115_0.jpg
202,0.772523,0113_c009_00076210_0.jpg
203,0.487222,0113_c010_00076760_1.jpg
204,0.795544,0113_c011_00076850_0.jpg
205,0.590909,0113_c012_00081255_0.jpg
206,0.651292,0113_c013_00081150_0.jpg
207,0.524908,0113_c017_00081820_0.jpg
208,0.58433,0113_c019_00081925_0.jpg
209,0.976471,0117_c001_00048665_0.jpg
210,0.999446,0117_c012_00049160_0.jpg
211,0.997265,0117_c013_00049010_0.jpg
212,1.0,0117_c014_00051035_0.jpg
213,0.999446,0117_c015_00050805_0.jpg
214,0.737085,0117_c016_00052565_0.jpg
215,1.0,0117_c017_00049775_0.jpg
216,0.99723,0117_c019_00050015_0.jpg
217,0.890713,0118_c001_00068830_0.jpg
218,0.999901,0118_c002_00086265_0.jpg
219,0.74785,0118_c003_00089040_1.jpg
220,0.930932,0118_c004_00089005_0.jpg
221,1.0,0118_c005_00089810_1.jpg
222,0.758802,0118_c006_00088190_1.jpg
223,0.984155,0118_c007_00089905_0.jpg
224,0.997098,0118_c008_00089315_1.jpg
225,0.9667,0118_c009_00089270_0.jpg
226,0.91654,0118_c010_00088410_0.jpg
227,0.853665,0118_c011_00088230_1.jpg
228,0.904078,0118_c012_00066905_0.jpg
229,0.998863,0118_c013_00067000_0.jpg
230,0.901324,0118_c014_00065420_0.jpg
231,0.997017,0118_c015_00065420_0.jpg
232,0.999236,0118_c016_00065230_0.jpg
233,0.939248,0118_c017_00066255_0.jpg
234,0.998258,0118_c019_00065995_1.jpg
235,1.0,0122_c001_00036500_0.jpg
236,0.261309,0122_c012_00036985_0.jpg
237,0.886817,0122_c013_00036865_0.jpg
238,0.894539,0122_c015_00038450_0.jpg
239,0.871558,0122_c016_00039735_0.jpg
240,0.809948,0122_c019_00037970_1.jpg
241,0.572726,0126_c001_00005395_0.jpg
242,0.587922,0126_c002_00059155_0.jpg
243,0.522491,0126_c003_00061005_1.jpg
244,0.573107,0126_c004_00060980_0.jpg
245,0.73043,0126_c005_00061745_1.jpg
246,0.523218,0126_c006_00060265_0.jpg
247,0.261768,0126_c007_00061840_0.jpg
248,0.680324,0126_c008_00061250_0.jpg
249,0.656924,0126_c009_00061190_0.jpg
250,0.509997,0126_c010_00060400_0.jpg
251,0.518005,0126_c011_00060250_0.jpg
252,0.628509,0126_c012_00003945_0.jpg
253,0.833873,0126_c013_00004060_0.jpg
254,0.477059,0126_c014_00002490_1.jpg
255,0.758849,0126_c016_00002265_0.jpg
256,0.5832,0126_c017_00003330_1.jpg
257,0.743047,0126_c019_00003130_0.jpg
258,0.811491,0129_c014_00026710_1.jpg
259,0.263857,0129_c015_00026705_1.jpg
260,0.86077,0129_c017_00027580_0.jpg
261,0.498038,0129_c019_00027405_0.jpg
262,1.0,0130_c003_00058575_1.jpg
263,0.958637,0130_c004_00058560_1.jpg
264,1.0,0130_c005_00059430_0.jpg
265,1.0,0130_c007_00059550_0.jpg
266,0.799207,0130_c008_00058880_0.jpg
267,0.90119,0130_c009_00058810_0.jpg
268,1.0,0132_c001_00019750_0.jpg
269,1.0,0132_c012_00018355_0.jpg
270,1.0,0132_c013_00018475_0.jpg
271,1.0,0132_c014_00016320_0.jpg
272,1.0,0132_c015_00016420_0.jpg
273,1.0,0132_c016_00015950_1.jpg
274,1.0,0132_c017_00017675_0.jpg
275,1.0,0132_c019_00017370_0.jpg
