idx_in_subset,query_name,AP_modelA,AP_modelB,AP_max,chosen_model
194,0110_c011_00021890_0.jpg,0.6472858585535572,0.8195544361816195,0.8195544361816195,B
195,0110_c012_00007700_0.jpg,0.5091295848085065,0.8719255929451084,0.8719255929451084,B
196,0113_c001_00080770_0.jpg,0.6874477965894032,0.9875814422891405,0.9875814422891405,B
197,0113_c002_00079195_1.jpg,0.6219682475887534,0.9887432738459253,0.9887432738459253,B
198,0113_c003_00076335_0.jpg,0.6403338330385796,0.9719909779844741,0.9719909779844741,B
199,0113_c004_00076225_0.jpg,0.6511980584609688,0.9780190410124053,0.9780190410124053,B
200,0113_c006_00076830_0.jpg,0.8312256083160805,0.9828593804697056,0.9828593804697056,B
201,0113_c008_00076115_0.jpg,0.7000533766039008,0.9862755958886669,0.9862755958886669,B
202,0113_c009_00076210_0.jpg,0.7725233403323982,0.9816056308708165,0.9816056308708165,B
203,0113_c010_00076760_1.jpg,0.48722171918971213,0.9774912265561051,0.9774912265561051,B
204,0113_c011_00076850_0.jpg,0.7955437725026697,0.9881459486325761,0.9881459486325761,B
205,0113_c012_00081255_0.jpg,0.5909088881645416,0.9881184282183403,0.9881184282183403,B
206,0113_c013_00081150_0.jpg,0.6512923012488401,0.9794607731817622,0.9794607731817622,B
207,0113_c017_00081820_0.jpg,0.5249078406046321,0.980663457528385,0.980663457528385,B
208,0113_c019_00081925_0.jpg,0.5843296220287004,0.9815890107113721,0.9815890107113721,B
209,0117_c001_00048665_0.jpg,0.9764714138513995,0.18429330290197457,0.9764714138513995,A
210,0117_c012_00049160_0.jpg,0.9994462901439645,0.3121438690988611,0.9994462901439645,A
211,0117_c013_00049010_0.jpg,0.997265084895747,0.25398019569780034,0.997265084895747,A
212,0117_c014_00051035_0.jpg,1.0,0.35875098806451433,1.0,A
213,0117_c015_00050805_0.jpg,0.9994462901439645,0.15851731898743987,0.9994462901439645,A
214,0117_c016_00052565_0.jpg,0.7370850847854339,0.08524467286040267,0.7370850847854339,A
215,0117_c017_00049775_0.jpg,1.0,0.39916301202888843,1.0,A
216,0117_c019_00050015_0.jpg,0.9972296091127629,0.33580783730319363,0.9972296091127629,A
217,0118_c001_00068830_0.jpg,0.8907127362320066,0.7391136920411272,0.8907127362320066,A
218,0118_c002_00086265_0.jpg,0.9999009900990099,0.95098046224293,0.9999009900990099,A
219,0118_c003_00089040_1.jpg,0.747850258010761,0.9757737111947894,0.9757737111947894,B
