idx_in_subset,AP,query_basename,query_path
256,0.5832,0126_c017_00003330_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c017_00003330_1.jpg
257,0.743047,0126_c019_00003130_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c019_00003130_0.jpg
259,0.263857,0129_c015_00026705_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0129_c015_00026705_1.jpg
261,0.498038,0129_c019_00027405_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0129_c019_00027405_0.jpg
266,0.799207,0130_c008_00058880_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0130_c008_00058880_0.jpg
277,0.550447,0134_c002_00063575_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c002_00063575_0.jpg
279,0.596154,0134_c004_00049285_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c004_00049285_0.jpg
281,0.538488,0134_c006_00047550_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c006_00047550_1.jpg
283,0.761325,0134_c008_00049955_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c008_00049955_0.jpg
285,0.552508,0134_c010_00061445_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c010_00061445_0.jpg
288,0.516142,0134_c013_00065515_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c013_00065515_0.jpg
290,0.531803,0134_c015_00070000_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c015_00070000_1.jpg
291,0.532837,0134_c016_00071425_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c016_00071425_0.jpg
293,0.493697,0134_c019_00068345_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0134_c019_00068345_0.jpg
294,0.685215,0135_c001_00061845_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c001_00061845_0.jpg
295,0.783412,0135_c002_00068195_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c002_00068195_1.jpg
296,0.614492,0135_c003_00070150_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c003_00070150_0.jpg
297,0.762841,0135_c004_00070135_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c004_00070135_0.jpg
298,0.741798,0135_c005_00070830_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c005_00070830_0.jpg
299,0.630176,0135_c006_00069415_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c006_00069415_0.jpg
300,0.689833,0135_c007_00070935_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c007_00070935_0.jpg
301,0.332787,0135_c008_00070415_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c008_00070415_0.jpg
302,0.506431,0135_c009_00070340_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c009_00070340_0.jpg
303,0.67423,0135_c010_00069590_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c010_00069590_1.jpg
304,0.599724,0135_c011_00069430_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c011_00069430_0.jpg
305,0.71564,0135_c012_00060335_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c012_00060335_0.jpg
307,0.667663,0135_c014_00058310_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c014_00058310_1.jpg
308,0.708515,0135_c015_00058375_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c015_00058375_0.jpg
309,0.717783,0135_c016_00057900_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c016_00057900_0.jpg
310,0.625092,0135_c017_00059590_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0135_c017_00059590_0.jpg
312,0.699424,0142_c014_00086485_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0142_c014_00086485_0.jpg
313,0.786679,0142_c015_00086515_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0142_c015_00086515_0.jpg
314,0.618143,0142_c016_00086325_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0142_c016_00086325_0.jpg
315,0.773671,0142_c017_00088125_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0142_c017_00088125_0.jpg
316,0.650098,0142_c019_00088350_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0142_c019_00088350_0.jpg
317,0.495821,0143_c001_00072350_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c001_00072350_0.jpg
318,0.541371,0143_c012_00073035_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c012_00073035_0.jpg
319,0.49355,0143_c013_00072830_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c013_00072830_0.jpg
320,0.462159,0143_c014_00074735_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c014_00074735_0.jpg
321,0.515495,0143_c015_00074530_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c015_00074530_0.jpg
322,0.614938,0143_c016_00076535_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c016_00076535_0.jpg
323,0.375152,0143_c017_00073710_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c017_00073710_0.jpg
324,0.520735,0143_c019_00073915_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0143_c019_00073915_0.jpg
326,0.7853,0144_c012_00027240_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0144_c012_00027240_0.jpg
327,0.775955,0144_c013_00027420_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0144_c013_00027420_0.jpg
328,0.77225,0144_c014_00024350_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0144_c014_00024350_0.jpg
330,0.636374,0144_c017_00026280_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0144_c017_00026280_0.jpg
331,0.441568,0145_c014_00025420_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0145_c014_00025420_0.jpg
333,0.660837,0145_c016_00026460_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0145_c016_00026460_1.jpg
334,0.331709,0150_c001_00048515_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c001_00048515_0.jpg
335,0.555487,0150_c012_00048975_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c012_00048975_0.jpg
336,0.439376,0150_c013_00048845_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c013_00048845_0.jpg
337,0.570114,0150_c014_00050980_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c014_00050980_0.jpg
338,0.479386,0150_c015_00050780_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c015_00050780_0.jpg
339,0.465881,0150_c017_00049560_2.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c017_00049560_2.jpg
340,0.504022,0150_c019_00049885_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0150_c019_00049885_1.jpg
341,0.629898,0151_c001_00004585_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0151_c001_00004585_0.jpg
346,0.500557,0151_c006_00005730_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0151_c006_00005730_0.jpg
348,0.77712,0151_c008_00006650_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0151_c008_00006650_0.jpg
351,0.578494,0151_c011_00005670_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0151_c011_00005670_0.jpg
352,0.657883,0151_c012_00002630_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0151_c012_00002630_0.jpg
